#,brands.display_name,brands.display_name_en,brands.display_name_zh_cn,company.display_name,company.display_name_en,company.display_name_zh_cn,company.hq_country,co_hq_city,ai_lab_city,brands_accounts.role_id='official',brands_accounts.role_id='staff',notes,github_accounts,hf_orgs,hf_followers_num,tier
5,Llama,Llama,Llama,Meta,Meta,Meta（元）,US,"Menlo Park, CA","Menlo Park, CA","https://x.com/AIatMeta, ",https://x.com/alexandr_wang,,,https://huggingface.co/meta-llama/,"38,400",T1-open
10,Mistral,Mistral,Mistral,Mistral AI,Mistral AI,Mistral AI,FR,Paris,Paris,"https://x.com/MistralAI, ","https://x.com/arthurmensch , https://x.com/sophiamyang ",,,https://huggingface.co/mistralai/,"88,300",T1-closed
12,NeMo / Megatron,NeMo / Megatron,NeMo / Megatron,NVIDIA,NVIDIA,英伟达,US,"Santa Clara, CA","Santa Clara, CA",https://x.com/NVIDIAAIDev https://x.com/NVIDIAAI,na,,,https://huggingface.co/nvidia/,"31,700",T1-open
17,千问,Qwen,千问,阿里巴巴,Alibaba,阿里巴巴,CN,Hangzhou,Beijing,"https://x.com/Alibaba_Qwen, https://x.com/Ali_TongyiLab",https://x.com/xiong_hui_chen,,https://github.com/QwenLM,https://huggingface.co/Qwen/,"156,400",T2-bigtech
18,ERNIE / Wenxin,ERNIE / Wenxin,文心一言,百度,Baidu,百度,CN,Beijing,Beijing,"https://x.com/ErnieforDevs, https://x.com/Paddlepaddle",na,,,https://huggingface.co/baidu/,"5,100",T2-bigtech
19,Hunyuan,Hunyuan,腾讯混元,腾讯,Tencent,腾讯,CN,Shenzhen,Shenzhen,https://x.com/TencentHunyuan,https://x.com/ShunyuYao12/,left openai to head hunyuan,,https://huggingface.co/tencent/,"6,800",T2-bigtech
20,Doubao / Seed,Doubao / Seed,豆包 / Seed,字节跳动,ByteDance,字节跳动,CN,Beijing,Beijing,"https://x.com/DoubaoAI, https://x.com/BytePlusGlobal",na,,,"https://huggingface.co/bytedance/  , https://huggingface.co/bytedance-research/ ","8,900",T2-bigtech
21,DeepSeek,DeepSeek,深度求索,深度求索,Deepseek,深度求索,CN,Hangzhou,Beijing,"https://x.com/deepseek_ai, ",na,,,https://huggingface.co/deepseek-ai/,"71,500",T2-bigtech
22,GLM / ChatGLM,GLM / ChatGLM,GLM / ChatGLM,智谱AI,Z.ai,智谱AI,CN,Beijing,Beijing,"https://x.com/Zai_org, https://x.com/ZhihuFrontier","https://x.com/louszbd, https://x.com/ZixuanLi_, https://x.com/cara_catowner, https://x.com/CunxiangWang",,,https://huggingface.co/zai-org/,"22,400",T2-bigtech
23,Moonshot / Kimi,Moonshot / Kimi,Moonshot / Kimi智能助手,月之暗面,Moonshot AI,月之暗面,CN,Beijing,Beijing,https://x.com/Kimi_Moonshot,na,,,https://huggingface.co/moonshotai/,"9,300",T2-bigtech
24,MiniMax,MiniMax,稀宇科技,稀宇科技,MiniMax,稀宇科技,CN,Shanghai,Shanghai,"https://x.com/MiniMax_AI, https://x.com/MiniMaxAgent","https://x.com/VictorSuOrtiz, https://x.com/RyanLeeMiniMax, https://x.com/SkylerMiao7/",,,https://huggingface.co/MiniMaxAI/,"6,950",T2-bigtech
25,Yi,Yi,零一万物 Yi,零一万物,01.AI,零一万物,CN,Beijing,Beijing,https://x.com/01AI_Yi;,https://x.com/kaifulee,,,https://huggingface.co/01-ai/,"11,200",T2-bigtech
27,InclusionAI,InclusionAI,InclusionAI,蚂蚁 Inclusion AI,Inclusion AI,蚂蚁 Inclusion AI,CN,Hangzhou,Hangzhou,"https://x.com/TheInclusionAI, https://x.com/AntLingAGI, https://x.com/robbyant_brain",na,,,https://huggingface.co/inclusionAI/,"3,100",T2-bigtech
28,SenseChat / SenseNova,SenseChat / SenseNova,商量 / 日日新,商汤科技,SenseTime,商汤科技,CN,Hong Kong,Shanghai,https://x.com/SenseTime_AI,https://x.com/lindahua,,,https://huggingface.co/SenseTime/,900,T2-asia
29,StepFun / Step,StepFun / Step,阶跃星辰 / Step,阶跃星辰,StepFun,阶跃星辰,CN,Shanghai,Shanghai,https://x.com/StepFun_ai,https://x.com/EileenTal,,,https://huggingface.co/stepfun-ai/,"1,800",T2-asia
30,Mimo,Mimo,MiMo,小米,Xiaomi,小米,CN,Beijing,Beijing,"https://x.com/XiaomiMiMo, https://x.com/XiaomiMiMoDevs",https://x.com/_LuoFuli,fuli luo was hired away from deepseek to head mimo,,https://huggingface.co/XiaomiMiMo/,700,T2-asia
35,EXAONE,EXAONE,EXAONE,LG AI연구원,LG AI Research,LG AI研究院,KR,Seoul,Seoul,https://x.com/LG_AI_Research,https://x.com/honglaklee,,,https://huggingface.co/LGAI-EXAONE/,"2,700",T2-asia
38,サカナAI,Sakana AI,Sakana AI,サカナAI,Sakana AI,Sakana AI,JP,Tokyo,Tokyo,https://x.com/SakanaAILabs,"https://x.com/hardmaru, https://x.com/Stefania_druga",,,https://huggingface.co/SakanaAI/,"4,100",T2-asia
43,Kuaishou / KwaiYii,Kuaishou / KwaiYii,快手 / 快意,快手科技,Kuaishou Technology,快手科技,CN,Beijing,Beijing,https://x.com/Kling_ai,na,old news,,https://huggingface.co/Kuaishou/,500,T2-asia
79,업스테이지,Upstage,Upstage,업스테이지,Upstage,Upstage,KR,Seoul,Seoul,https://x.com/upstageai,https://x.com/echojuliett,,,https://huggingface.co/upstage/,"4,800",T4-community
