model_id,endpoint_name,provider_name,endpoint_tag,quantization,captured_at_utc,context_length,tier,min_prompt_tokens,supported_parameters,input_usd_per_million,output_usd_per_million,cache_read_usd_per_million,cache_write_usd_per_million,pricing_json_original_units
deepseek/deepseek-v4-flash-0731,OpenInference | deepseek/deepseek-v4-flash-20260731,OpenInference,open-inference/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""max_tokens"", ""stop"", ""seed"", ""response_format"", ""tools"", ""tool_choice"", ""top_p"", ""frequency_penalty"", ""presence_penalty"", ""top_k"", ""min_p"", ""logit_bias"", ""repetition_penalty"", ""structured_outputs"", ""reasoning_effort""]",0.03000000,0.13000000,0.01000000,,"{""prompt"":""0.00000003"",""completion"":""0.00000013"",""input_cache_read"":""0.00000001"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Relace | deepseek/deepseek-v4-flash-20260731,Relace,relace/fp4,fp4,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""tools"", ""tool_choice"", ""temperature"", ""top_p"", ""top_k"", ""min_p"", ""stop"", ""max_tokens"", ""logit_bias"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""reasoning_effort""]",0.06000000,0.12000000,0.012000000,,"{""prompt"":""0.00000006"",""completion"":""0.00000012"",""input_cache_read"":""0.000000012"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,DeepInfra | deepseek/deepseek-v4-flash-20260731,DeepInfra,deepinfra/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""top_k"", ""seed"", ""min_p"", ""tools"", ""tool_choice"", ""structured_outputs"", ""logit_bias"", ""response_format"", ""reasoning_effort""]",0.06000000,0.18000000,0.015000000,,"{""prompt"":""0.00000006"",""completion"":""0.00000018"",""input_cache_read"":""0.000000015"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Inceptron | deepseek/deepseek-v4-flash-20260731,Inceptron,inceptron/fp4,fp4,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""max_tokens"", ""top_p"", ""stop"", ""frequency_penalty"", ""logit_bias"", ""parallel_tool_calls"", ""presence_penalty"", ""seed"", ""response_format"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.0606000000,0.2029000000,0.0096000000,,"{""prompt"":""0.0000000606"",""completion"":""0.0000002029"",""input_cache_read"":""0.0000000096"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,StreamLake | deepseek/deepseek-v4-flash-20260731,StreamLake,streamlake/fp8,fp8,2026-09-17T05:38:13.189581+00:00,1024000,base,,"[""reasoning"", ""include_reasoning"", ""response_format"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""max_tokens"", ""temperature"", ""top_p"", ""stop"", ""reasoning_effort""]",0.0616000000,0.1848000000,0.00196000000,,"{""prompt"":""0.0000000616"",""completion"":""0.0000001848"",""input_cache_read"":""0.00000000196"",""discount"":0.86}"
deepseek/deepseek-v4-flash-0731,Sail Research | deepseek/deepseek-v4-flash-20260731,Sail Research,sail-research/us,fp4,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""frequency_penalty"", ""max_tokens"", ""presence_penalty"", ""seed"", ""stop"", ""temperature"", ""top_k"", ""top_p"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.0741000000,0.342000000,0.0228000000,,"{""prompt"":""0.0000000741"",""completion"":""0.000000342"",""input_cache_read"":""0.0000000228"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Sail Research | deepseek/deepseek-v4-flash-20260731,Sail Research,sail-research/fp4,fp4,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""response_format"", ""tools"", ""tool_choice"", ""structured_outputs"", ""logprobs"", ""top_logprobs"", ""temperature"", ""top_p"", ""top_k"", ""frequency_penalty"", ""presence_penalty"", ""stop"", ""seed"", ""max_tokens"", ""reasoning_effort""]",0.0741000000,0.342000000,0.0228000000,,"{""prompt"":""0.0000000741"",""completion"":""0.000000342"",""input_cache_read"":""0.0000000228"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Makora | deepseek/deepseek-v4-flash-20260731,Makora,makora,unknown,2026-09-17T05:38:13.189581+00:00,1000000,base,,"[""reasoning"", ""include_reasoning"", ""structured_outputs"", ""response_format"", ""temperature"", ""top_p"", ""top_k"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""stop"", ""max_tokens"", ""seed"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.09000000,0.195000000,0.0196000000,,"{""prompt"":""0.00000009"",""completion"":""0.000000195"",""input_cache_read"":""0.0000000196"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Wafer | deepseek/deepseek-v4-flash-20260731,Wafer,wafer/fast,unknown,2026-09-17T05:38:13.189581+00:00,1048576,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""top_p"", ""top_k"", ""min_p"", ""frequency_penalty"", ""presence_penalty"", ""repetition_penalty"", ""stop"", ""seed"", ""max_tokens"", ""logit_bias"", ""response_format"", ""structured_outputs"", ""logprobs"", ""top_logprobs"", ""tools"", ""tool_choice"", ""reasoning_effort""]",0.1000000,0.25000000,0.05000000,,"{""prompt"":""0.0000001"",""completion"":""0.00000025"",""input_cache_read"":""0.00000005"",""discount"":0}"
deepseek/deepseek-v4-flash-0731,Reka | deepseek/deepseek-v4-flash-20260731,Reka,reka/fp4,fp4,2026-09-17T05:38:13.189581+00:00,262144,base,,"[""reasoning"", ""include_reasoning"", ""temperature"", ""top_p"", ""max_tokens"", ""stop"", ""response_format"", ""structured_outputs"", ""tools"", ""tool_choice"", ""logprobs"", ""top_logprobs"", ""reasoning_effort""]",0.11000000,0.66000000,0.007000000,,"{""prompt"":""0.00000011"",""completion"":""0.00000066"",""input_cache_read"":""0.000000007"",""discount"":0}"
