model_id,endpoint_name,provider_name,endpoint_tag,quantization,context_length,max_completion_tokens,supported_parameters,input_modalities,output_modalities,pricing,endpoint_json
tencent/hy-mt2-1.8b,Tencent | tencent/hy-mt2-1.8b-20260521,Tencent,tencent/fp8,fp8,8192,4096,"[""temperature"",""stop"",""max_completion_tokens"",""max_tokens""]",null,null,"{""prompt"":""0.000000044"",""completion"":""0.000000177"",""discount"":0}","{""name"":""Tencent | tencent/hy-mt2-1.8b-20260521"",""model_id"":""tencent/hy-mt2-1.8b"",""model_name"":""Tencent: Hy-MT2-1.8B"",""context_length"":8192,""pricing"":{""prompt"":""0.000000044"",""completion"":""0.000000177"",""discount"":0},""provider_name"":""Tencent"",""tag"":""tencent/fp8"",""quantization"":""fp8"",""max_completion_tokens"":4096,""max_prompt_tokens"":null,""supported_parameters"":[""temperature"",""stop"",""max_completion_tokens"",""max_tokens""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":100,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
tencent/hy-mt2-7b,Tencent | tencent/hy-mt2-7b-20260521,Tencent,tencent/fp8,fp8,8192,4096,"[""temperature"",""stop"",""max_completion_tokens"",""max_tokens"",""response_format"",""structured_outputs""]",null,null,"{""prompt"":""0.000000074"",""completion"":""0.000000295"",""discount"":0}","{""name"":""Tencent | tencent/hy-mt2-7b-20260521"",""model_id"":""tencent/hy-mt2-7b"",""model_name"":""Tencent: Hy-MT2-7B"",""context_length"":8192,""pricing"":{""prompt"":""0.000000074"",""completion"":""0.000000295"",""discount"":0},""provider_name"":""Tencent"",""tag"":""tencent/fp8"",""quantization"":""fp8"",""max_completion_tokens"":4096,""max_prompt_tokens"":null,""supported_parameters"":[""temperature"",""stop"",""max_completion_tokens"",""max_tokens"",""response_format"",""structured_outputs""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":100,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,AkashML | openai/gpt-oss-120b,AkashML,akashml/bf16,bf16,131072,117964,"[""reasoning"",""include_reasoning"",""temperature"",""top_p"",""top_k"",""stop"",""seed"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""max_tokens"",""response_format"",""structured_outputs"",""tools"",""logprobs"",""top_logprobs"",""tool_choice"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000003"",""completion"":""0.00000017"",""input_cache_read"":""0.00000003"",""discount"":0}","{""name"":""AkashML | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000003"",""completion"":""0.00000017"",""input_cache_read"":""0.00000003"",""discount"":0},""provider_name"":""AkashML"",""tag"":""akashml/bf16"",""quantization"":""bf16"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""temperature"",""top_p"",""top_k"",""stop"",""seed"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""max_tokens"",""response_format"",""structured_outputs"",""tools"",""logprobs"",""top_logprobs"",""tool_choice"",""reasoning_effort""],""supports_tool_choice"":{""none"":false,""auto"":true,""required"":false,""function"":false},""status"":0,""uptime_last_30m"":99.97084669526467,""uptime_last_5m"":100,""uptime_last_1d"":99.93822010362972,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,CoreWeave | openai/gpt-oss-120b,CoreWeave,coreweave/fp4,fp4,131072,117964,"[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""max_tokens"",""temperature"",""top_p"",""top_k"",""repetition_penalty"",""frequency_penalty"",""presence_penalty"",""stop"",""seed"",""tools"",""tool_choice"",""logprobs"",""top_logprobs"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000003"",""completion"":""0.00000017"",""input_cache_read"":""0.00000003"",""discount"":0}","{""name"":""CoreWeave | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000003"",""completion"":""0.00000017"",""input_cache_read"":""0.00000003"",""discount"":0},""provider_name"":""CoreWeave"",""tag"":""coreweave/fp4"",""quantization"":""fp4"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""structured_outputs"",""response_format"",""max_tokens"",""temperature"",""top_p"",""top_k"",""repetition_penalty"",""frequency_penalty"",""presence_penalty"",""stop"",""seed"",""tools"",""tool_choice"",""logprobs"",""top_logprobs"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":99.40890125173853,""uptime_last_5m"":99.3431855500821,""uptime_last_1d"":99.86247078501091,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,DekaLLM | openai/gpt-oss-120b,DekaLLM,dekallm/bf16,bf16,131072,117964,"[""reasoning"",""include_reasoning"",""frequency_penalty"",""logit_bias"",""max_tokens"",""presence_penalty"",""seed"",""stop"",""temperature"",""top_p"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""logprobs"",""top_logprobs"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000003"",""completion"":""0.00000018"",""discount"":0}","{""name"":""DekaLLM | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000003"",""completion"":""0.00000018"",""discount"":0},""provider_name"":""DekaLLM"",""tag"":""dekallm/bf16"",""quantization"":""bf16"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""frequency_penalty"",""logit_bias"",""max_tokens"",""presence_penalty"",""seed"",""stop"",""temperature"",""top_p"",""response_format"",""structured_outputs"",""tools"",""tool_choice"",""logprobs"",""top_logprobs"",""reasoning_effort""],""supports_tool_choice"":{""none"":false,""auto"":true,""required"":false,""function"":false},""status"":0,""uptime_last_30m"":99.9275887038378,""uptime_last_5m"":100,""uptime_last_1d"":99.72422386646834,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,DeepInfra | openai/gpt-oss-120b,DeepInfra,deepinfra/bf16,bf16,131072,117964,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""top_k"",""seed"",""min_p"",""tools"",""tool_choice"",""structured_outputs"",""logit_bias"",""response_format"",""reasoning_effort""]",null,null,"{""prompt"":""0.000000037"",""completion"":""0.00000017"",""discount"":0}","{""name"":""DeepInfra | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.000000037"",""completion"":""0.00000017"",""discount"":0},""provider_name"":""DeepInfra"",""tag"":""deepinfra/bf16"",""quantization"":""bf16"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""top_k"",""seed"",""min_p"",""tools"",""tool_choice"",""structured_outputs"",""logit_bias"",""response_format"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":99.92133726647,""uptime_last_5m"":100,""uptime_last_1d"":98.75085457284257,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,Crusoe | openai/gpt-oss-120b,Crusoe,crusoe/bf16,bf16,131072,117964,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""min_p"",""repetition_penalty"",""top_k"",""logit_bias"",""structured_outputs"",""response_format"",""tools"",""tool_choice"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000005"",""completion"":""0.00000025"",""input_cache_read"":""0.00000005"",""discount"":0}","{""name"":""Crusoe | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000005"",""completion"":""0.00000025"",""input_cache_read"":""0.00000005"",""discount"":0},""provider_name"":""Crusoe"",""tag"":""crusoe/bf16"",""quantization"":""bf16"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""min_p"",""repetition_penalty"",""top_k"",""logit_bias"",""structured_outputs"",""response_format"",""tools"",""tool_choice"",""reasoning_effort""],""supports_tool_choice"":{""none"":false,""auto"":true,""required"":false,""function"":false},""status"":0,""uptime_last_30m"":98.33472106577852,""uptime_last_5m"":96.51567944250871,""uptime_last_1d"":99.19179236353888,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,Novita | openai/gpt-oss-120b,Novita,novita/fp4,fp4,131072,32768,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""top_k"",""repetition_penalty"",""tools"",""tool_choice"",""response_format"",""logprobs"",""top_logprobs"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000005"",""completion"":""0.00000025"",""discount"":0}","{""name"":""Novita | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000005"",""completion"":""0.00000025"",""discount"":0},""provider_name"":""Novita"",""tag"":""novita/fp4"",""quantization"":""fp4"",""max_completion_tokens"":32768,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""seed"",""top_k"",""repetition_penalty"",""tools"",""tool_choice"",""response_format"",""logprobs"",""top_logprobs"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":99.7752808988764,""uptime_last_5m"":100,""uptime_last_1d"":91.45881335937526,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,Mancer 2 | openai/gpt-oss-120b,Mancer 2,mancer/fp8,fp8,131072,117964,"[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""logit_bias"",""top_k"",""min_p"",""seed"",""top_a"",""response_format"",""logprobs"",""top_logprobs"",""structured_outputs"",""tools"",""tool_choice"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000005"",""completion"":""0.0000004"",""discount"":0}","{""name"":""Mancer 2 | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":131072,""pricing"":{""prompt"":""0.00000005"",""completion"":""0.0000004"",""discount"":0},""provider_name"":""Mancer 2"",""tag"":""mancer/fp8"",""quantization"":""fp8"",""max_completion_tokens"":117964,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""max_tokens"",""temperature"",""top_p"",""stop"",""frequency_penalty"",""presence_penalty"",""repetition_penalty"",""logit_bias"",""top_k"",""min_p"",""seed"",""top_a"",""response_format"",""logprobs"",""top_logprobs"",""structured_outputs"",""tools"",""tool_choice"",""reasoning_effort""],""supports_tool_choice"":{""none"":false,""auto"":true,""required"":false,""function"":false},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":97.11112382712241,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
openai/gpt-oss-120b,DigitalOcean | openai/gpt-oss-120b,DigitalOcean,digitalocean,unknown,128000,4096,"[""reasoning"",""include_reasoning"",""temperature"",""top_p"",""max_tokens"",""logprobs"",""top_logprobs"",""reasoning_effort""]",null,null,"{""prompt"":""0.00000006"",""completion"":""0.00000042"",""input_cache_read"":""0.000000012"",""discount"":0}","{""name"":""DigitalOcean | openai/gpt-oss-120b"",""model_id"":""openai/gpt-oss-120b"",""model_name"":""OpenAI: gpt-oss-120b"",""context_length"":128000,""pricing"":{""prompt"":""0.00000006"",""completion"":""0.00000042"",""input_cache_read"":""0.000000012"",""discount"":0},""provider_name"":""DigitalOcean"",""tag"":""digitalocean"",""quantization"":""unknown"",""max_completion_tokens"":4096,""max_prompt_tokens"":null,""supported_parameters"":[""reasoning"",""include_reasoning"",""temperature"",""top_p"",""max_tokens"",""logprobs"",""top_logprobs"",""reasoning_effort""],""supports_tool_choice"":{""none"":true,""auto"":true,""required"":true,""function"":true},""status"":0,""uptime_last_30m"":100,""uptime_last_5m"":100,""uptime_last_1d"":99.9784819265967,""supports_implicit_caching"":false,""supports_voice_cloning"":false,""latency_last_30m"":null,""throughput_last_30m"":null}"
